,City,Lat,Lng,Max Temp,Country,Date
100,kargasok,59.0556,80.8572,-10.05,RU,1734587429
101,remire-montjoly,4.9167,-52.2667,25.02,GF,1734587430
102,gobabis,-22.45,18.9667,22.96,NA,1734587431
103,luebo,-5.35,21.4167,22.06,CD,1734587432
104,enewetak,11.3474,162.3373,27.75,MH,1734587433
105,sona,45.4388,10.8255,3.51,IT,1734587434
106,lichinga,-13.3128,35.2406,21.05,MZ,1734587435
107,pudasjarvi,65.3833,26.9167,-8.92,FI,1734587436
108,estacion coahuila,32.1939,-115.0017,18.6,MX,1734587438
109,liaozhong,41.5061,122.7242,-3.47,CN,1734587439
110,copala,16.65,-98.9833,24.55,MX,1734587440
111,olonkinbyen,70.9221,-8.7187,-3.69,SJ,1734587441
112,antsiranana,-12.2787,49.2917,25.42,MG,1734587442
113,utrik,11.2278,169.8474,27.34,MH,1734587443
114,shingu,33.7333,135.9833,7.75,JP,1734587444
115,jamestown,42.097,-79.2353,0.57,US,1734587445
116,kamyaran,34.7956,46.9355,4.26,IR,1734587446
117,birzebbuga,35.8258,14.5269,13.38,MT,1734587448
118,san patricio,28.017,-97.5169,15.97,US,1734587449
119,belmonte,-15.8631,-38.8828,25.48,BR,1734587450
120,namibe,-15.1961,12.1522,21.5,AO,1734587451
121,sao jose da coroa grande,-8.8978,-35.1478,25.54,BR,1734587452
122,aasiaat,68.7098,-52.8699,-12.77,GL,1734587454
123,hilo,19.7297,-155.09,23.95,US,1734587455
124,padang,-0.9492,100.3543,28.03,ID,1734587456
125,ascencion de guarayos,-15.8963,-63.1881,22.88,BO,1734587457
126,zhlobin,52.8926,30.024,3.13,BY,1734587459
127,guerrero negro,27.9769,-114.0611,14.79,MX,1734587460
128,jinchang,38.4953,102.1739,-2.78,CN,1734587461
129,constantia,44.1833,28.65,1.5,RO,1734587462
130,sao miguel,-5.4667,-35.3667,25.29,BR,1734587463
131,hawaiian paradise park,19.5933,-154.9731,23.83,US,1734587464
132,fuglafjordur,62.244,-6.814,3.29,FO,1734587465
133,iskateley,67.6803,53.1512,-20.7,RU,1734587466
134,rantauprapat,2.1,99.8333,26.99,ID,1734587467
135,tiksi,71.6872,128.8694,-25.22,RU,1734587468
136,callao,-12.0667,-77.15,20.95,PE,1734587470
137,luwuk,-0.9516,122.7875,27.93,ID,1734587471
138,mumford,5.2618,-0.759,25.5,GH,1734587472
139,saint-philippe,-21.3585,55.7679,26.91,RE,1734587473
140,bengkulu,-3.8004,102.2655,28.58,ID,1734587474
141,kailua-kona,19.6406,-155.9956,25.98,US,1734587475
142,yuzhno-kurilsk,44.0306,145.8556,-0.91,RU,1734587476
143,nar'yan-mar,67.6713,53.087,-20.71,RU,1734587477
144,biga,40.2281,27.2422,7.28,TR,1734587478
145,meadow lake,34.8014,-106.5436,3.71,US,1734587480
146,ambodifotatra,-16.9833,49.85,26.26,MG,1734587481
147,lebu,-37.6167,-73.65,11.77,CL,1734587482
148,beipiao,41.7919,120.7792,-2.03,CN,1734587483
149,akhaltsikhe,41.639,42.9826,1.09,GE,1734587484
150,cabo san lucas,22.8909,-109.9124,19.31,MX,1734586990
151,crane,31.3974,-102.3501,7.57,US,1734587486
152,luderitz,-26.6481,15.1594,17.6,NA,1734587487
153,port alfred,-33.5906,26.891,18.99,ZA,1734587489
154,lianhe,47.1333,129.2667,-9.28,CN,1734587491
155,lagoa,39.05,-27.9833,14.87,PT,1734587492
156,udachny,66.4167,112.4,-26.36,RU,1734587493
157,solnechnyy,50.7214,136.6319,-19.21,RU,1734587494
158,lubao,14.9167,120.55,30.84,PH,1734587495
159,dudinka,69.4058,86.1778,-13.11,RU,1734587450
160,mossel bay,-34.1831,22.146,20.96,ZA,1734587498
161,kudat,6.8837,116.8477,29.05,MY,1734587499
162,puerto baquerizo moreno,-0.9,-89.6,22.08,EC,1734587501
163,stephenville,32.2207,-98.2023,4.07,US,1734587502
164,daru,-9.0763,143.2092,32.62,PG,1734587503
165,quellon,-43.1167,-73.6167,9.03,CL,1734587505
166,nuuk,64.1835,-51.7216,-7.66,GL,1734587406
167,sibiti,-3.6819,13.3499,21.25,CG,1734587507
168,taro,-8.3862,115.28,29.26,ID,1734587508
169,nakatsugawa,35.4833,137.5,7.28,JP,1734587509
170,kone,-21.0595,164.8658,28.57,NC,1734587511
171,zmiyevka,52.6697,36.3739,-10.37,RU,1734587512
172,afaahiti,-17.75,-149.2833,26.01,PF,1734587513
173,praia da vitoria,38.7333,-27.0667,13.14,PT,1734587515
174,mili,6.0815,171.735,28.29,MH,1734587516
175,prabumulih,-3.45,104.25,29.87,ID,1734587517
176,nova sintra,14.8667,-24.7167,24.73,CV,1734587518
177,tregunc,47.85,-3.85,9.33,FR,1734587519
178,coahuayana de hidalgo,18.7,-103.6583,22.2,MX,1734587520
179,noosa heads,-26.3833,153.15,24.33,AU,1734587442
180,sivagiri,9.3333,77.4333,29.49,IN,1734587523
181,siwa oasis,29.2041,25.5195,15.22,EG,1734587524
182,kapa'a,22.0752,-159.319,24.18,US,1734587525
183,barranca,-10.75,-77.7667,18.65,PE,1734587526
184,stuarts draft,38.0301,-79.0336,8.27,US,1734587527
185,sitka,57.0531,-135.33,1.94,US,1734587528
186,punta del este,-34.9667,-54.95,20.06,UY,1734587529
187,yellowknife,62.456,-114.3525,-32.47,CA,1734587530
188,la passe,45.5549,-0.8967,12.94,FR,1734587531
189,aleksandrovsk,59.158,57.5624,-13.08,RU,1734587533
190,georgetown,5.4112,100.3354,31.97,MY,1734587534
191,santa adelia,-21.2428,-48.8042,20.96,BR,1734587535
192,haiku-pauwela,20.9219,-156.3051,24.03,US,1734587536
193,castillos,-34.1667,-53.8333,15.41,UY,1734587537
194,porto novo,6.4965,2.6036,24.9,BJ,1734587538
195,flying fish cove,-10.4217,105.6791,24.82,CX,1734587539
196,betio village,1.358,172.9211,31.02,KI,1734587540
197,cururupu,-1.8283,-44.8683,23.74,BR,1734587541
198,richards bay,-28.783,32.0377,22.28,ZA,1734587543
199,challapata,-18.9,-66.7667,11.47,BO,1734587544
200,leh,34.1667,77.5833,-6.73,IN,1734587545
201,rongelap,11.1635,166.8941,27.37,MH,1734587546
202,ust'-charyshskaya pristan',52.3934,83.6635,-8.15,RU,1734587547
203,carnarvon,-24.8667,113.6333,29.49,AU,1734587548
204,erenhot,43.6475,111.9767,-3.93,CN,1734587549
205,isafjordur,66.0755,-23.124,-5.22,IS,1734587550
206,barro alto,-11.7608,-41.9117,20.6,BR,1734587551
207,alofi,-19.0595,-169.9187,26.94,NU,1734587552
208,ortigueira,-24.2083,-50.9494,15.64,BR,1734587554
209,n'zeto,-7.2312,12.8666,26.03,AO,1734587555
210,isiolo,0.3546,37.5822,23.75,KE,1734587556
211,bor,56.3567,44.0669,-12.04,RU,1734587557
212,puerto ayora,-0.7393,-90.3518,21.94,EC,1734587558
213,nadi,-17.8,177.4167,30.0,FJ,1734587559
214,mil'kovo,55.6078,37.7956,-16.92,RU,1734587560
215,val-d'or,48.1002,-77.7828,-12.95,CA,1734587561
216,nahiyat ash shinafiyah,31.5874,44.6602,11.51,IQ,1734587563
217,labrador city,52.9463,-66.9114,-11.57,CA,1734587564
218,swakopmund,-22.6833,14.5333,14.43,NA,1734587565
219,ciudad lazaro cardenas,17.9583,-102.2,24.15,MX,1734587566
220,petauke,-14.2426,31.3253,24.61,ZM,1734587567
221,lazaro cardenas,17.9583,-102.2,24.15,MX,1734587568
222,humberto de campos,-2.5983,-43.4611,24.97,BR,1734587569
223,roma,43.2128,-75.4557,2.08,US,1734587570
224,maughold,54.2988,-4.3184,5.79,IM,1734587571
225,margaret river,-33.95,115.0667,21.75,AU,1734587572
226,inari,68.906,27.0288,-21.95,FI,1734587573
227,lensk,60.7253,114.9278,-15.92,RU,1734587575
228,hirara,24.8,125.2833,17.92,JP,1734587577
229,ko pha ngan,9.7578,100.0291,29.38,TH,1734587578
230,olyokminsk,60.3736,120.4264,-12.0,RU,1734587579
231,forster,-32.1667,152.5167,23.54,AU,1734587580
232,fort st. john,56.2499,-120.8529,-21.06,CA,1734587581
233,novomykolayivka,47.9781,35.9102,-1.0,UA,1734587582
234,moyale,3.5167,39.0584,24.64,KE,1734587583
235,magdalena de kino,30.6333,-110.95,14.5,MX,1734587584
236,kremenets,50.0969,25.7246,4.5,UA,1734587587
237,zaragoza,41.6561,-0.8773,13.25,ES,1734587588
238,st. john's,47.5649,-52.7093,4.43,CA,1734587589
239,lionel town,17.8101,-77.2406,22.82,JM,1734587590
240,fethiye,36.6217,29.1164,12.79,TR,1734587591
241,xindi,29.8167,113.4667,7.83,CN,1734587592
242,thinadhoo,0.5333,72.9333,27.8,MV,1734587593
243,galle,6.0367,80.217,29.4,LK,1734587595
244,lincheng,19.9078,109.6858,20.43,CN,1734587596
245,dryden,49.7833,-92.7503,-22.84,CA,1734587597
246,quesnel,52.9999,-122.5029,-4.72,CA,1734587598
247,stepnoye,51.4,46.8667,-12.53,RU,1734587599
248,tuy hoa,13.0833,109.3,23.33,VN,1734587600
249,acapulco de juarez,16.8634,-99.8901,24.9,MX,1734587518
250,gweru,-19.45,29.8167,23.05,ZW,1734587602
251,saltillo,25.4167,-101.0,13.71,MX,1734587461
252,alice springs,-23.7,133.8833,37.75,AU,1734587604
253,casper,42.8666,-106.3131,4.89,US,1734587596
254,alnwick,55.4132,-1.7056,3.71,GB,1734587607
255,codrington,-38.2667,141.9667,22.13,AU,1734587608
256,qandala,11.472,49.8728,24.04,SO,1734587609
257,sol'-iletsk,51.1631,54.9918,-6.89,RU,1734587610
258,itai,-23.4178,-49.0906,16.49,BR,1734587611
259,basco,20.4487,121.9702,21.61,PH,1734587612
260,miracema do tocantins,-9.5618,-48.3967,23.58,BR,1734587613
261,kruisfontein,-34.0033,24.7314,20.63,ZA,1734587614
262,atafu village,-8.5421,-172.5159,28.85,TK,1734587616
263,port augusta,-32.5,137.7667,35.17,AU,1734587617
264,laayoune,27.1622,-13.2032,14.19,EH,1734587619
265,vila franca do campo,37.7167,-25.4333,14.23,PT,1734587620
266,beitbridge,-22.2167,30.0,26.04,ZW,1734587621
267,hasaki,35.7333,140.8333,9.03,JP,1734587622
268,kununurra,-15.7667,128.7333,34.99,AU,1734587623
269,west island,-12.1568,96.8225,28.99,CC,1734587624
270,gao,16.6362,1.637,13.01,ML,1734587626
271,megion,61.0296,76.1136,-11.99,RU,1734587627
272,sharlyk,52.9167,54.75,-5.53,RU,1734587628
273,oriximina,-1.7656,-55.8661,24.51,BR,1734587629
274,el nido,11.1858,119.3956,30.08,PH,1734587630
275,tukrah,32.5341,20.5791,16.33,LY,1734587631
276,punta arenas,-53.15,-70.9167,5.06,CL,1734587632
277,hotan,37.0997,79.9269,-2.79,CN,1734587633
278,rio preto da eva,-2.6994,-59.6997,22.63,BR,1734587634
279,keflavik,64.0049,-22.5624,-0.76,IS,1734587636
280,barguzin,53.6167,109.6167,-11.42,RU,1734587637
281,sechura,-5.5569,-80.8222,19.86,PE,1734587638
282,salinas,36.6777,-121.6555,15.44,US,1734587639
283,santa elena de uairen,4.6167,-61.1333,18.56,VE,1734587640
284,ponta delgada,37.7333,-25.6667,14.4,PT,1734587641
285,kuqa,41.7278,82.9364,-7.52,CN,1734587642
286,tamanrasset,22.785,5.5228,4.95,DZ,1734587643
287,tazacorte,28.629,-17.9293,17.86,ES,1734587644
288,turinsk,58.0458,63.696,-10.33,RU,1734587645
289,kasane,-17.8167,25.15,21.19,BW,1734587647
290,zaozersk,69.4005,32.4476,-21.93,RU,1734587648
291,paita,-5.0892,-81.1144,19.33,PE,1734587649
292,markaz-e hukumat-e darweshan,31.1323,64.1934,9.35,AF,1734587651
293,zemio,5.0314,25.1361,25.12,CF,1734587652
294,garissa,-0.4536,39.6401,27.65,KE,1734587656
295,port lincoln,-34.7333,135.8667,24.33,AU,1734587657
296,sisimiut,66.9395,-53.6735,-13.29,GL,1734587658
297,ongwediva,-17.7833,15.7667,25.05,NA,1734587659
298,kiruna,67.8557,20.2251,-17.49,SE,1734587660
299,sao vicente,-23.9631,-46.3919,22.77,BR,1734587661
300,manado,1.487,124.8455,31.43,ID,1734587662
301,mokopane,-24.1944,29.0097,20.1,ZA,1734587664
302,lompoc,34.6391,-120.4579,13.4,US,1734587665
303,asuncion nochixtlan,17.4667,-97.2333,11.89,MX,1734587666
304,las veredas,23.1388,-109.7075,17.2,MX,1734587667
305,pandan,14.0453,124.1694,25.98,PH,1734587668
306,zouerate,22.7187,-12.4521,12.56,MR,1734587669
307,edson,53.5835,-116.4356,-15.92,CA,1734587670
308,nema,57.5067,50.5011,-15.93,RU,1734587671
309,bayanhongor,46.7167,100.1167,-22.05,MN,1734587672
310,norilsk,69.3535,88.2027,-15.34,RU,1734587673
311,bei'an,46.4398,126.2373,-11.81,CN,1734587675
312,altai,46.3722,96.2583,-13.95,MN,1734587676
313,petropavlovsk-kamchatsky,53.0452,158.6483,-0.67,RU,1734587677
314,ghanzi,-21.5667,21.7833,23.46,BW,1734587678
315,happy valley-goose bay,53.3168,-60.3315,-5.83,CA,1734587679
316,mount pearl,47.5166,-52.7813,3.97,CA,1734587680
317,zhytkavichy,52.2168,27.8561,4.9,BY,1734587681
318,pitiquito,30.7,-112.0833,14.64,MX,1734587682
319,alexandria,31.2156,29.9553,16.61,EG,1734587683
320,carnot,4.9409,15.8665,21.34,CF,1734587788
321,kanuru,16.2858,81.2546,26.73,IN,1734587790
322,cherdyn',60.403,56.4787,-11.05,RU,1734587791
323,kathmandu,27.7167,85.3167,15.12,NP,1734587560
324,pedregal,8.3667,-82.4333,23.83,PA,1734587793
325,wuchuan,21.4571,110.7659,21.26,CN,1734587794
326,olinda,-8.0089,-34.8553,26.85,BR,1734587795
327,gambiran satu,-8.3939,114.1464,33.4,ID,1734587797
328,nelidovo,56.2211,32.7774,-6.42,RU,1734587799
329,tavrichanka,43.3378,131.8639,-4.08,RU,1734587800
330,bodaybo,57.8506,114.1933,-21.71,RU,1734587801
331,katsuura,35.1333,140.3,8.14,JP,1734587802
332,maryborough,-25.5333,152.7,25.62,AU,1734587803
333,garachico,28.7781,-17.7646,16.38,ES,1734587804
334,semnan,35.5729,53.3971,3.82,IR,1734587805
335,turpan,42.9333,89.1667,-1.98,CN,1734587806
336,pleiku,13.9833,108.0,22.8,VN,1734587807
337,hadibu,12.65,54.0333,23.47,YE,1734587809
338,dera bugti,29.0307,69.151,17.71,PK,1734587810
339,brisas de zicatela,15.8369,-97.0419,24.97,MX,1734587811
340,newcastle west,52.4492,-9.0611,5.62,IE,1734587812
341,weno,7.4515,151.8468,28.73,FM,1734587813
342,turkmenbasy,40.0222,52.9552,5.43,TM,1734587814
343,jagatsinghapur,20.2667,86.1667,27.76,IN,1734587816
344,galesong,-5.3166,119.3661,29.34,ID,1734587817
345,camocim,-2.9022,-40.8411,25.99,BR,1734587818
346,isangel,-19.55,169.2667,26.89,VU,1734587819
347,urangan,-25.3,152.9,24.33,AU,1734587820
348,necochea,-38.5473,-58.7368,15.66,AR,1734587821
349,sur,22.5667,59.5289,22.91,OM,1734587822
350,rehti,22.7333,77.4333,23.66,IN,1734587823
351,luena,-11.7833,19.9167,19.29,AO,1734587824
352,kangding,30.0513,101.9603,13.67,CN,1734587825
353,ialibu,-6.2821,143.9935,17.63,PG,1734587827
354,persembe,41.0656,37.7714,7.55,TR,1734587828
355,taroa,8.7058,171.2275,27.63,MH,1734587829
356,sofifi,0.7349,127.576,30.47,ID,1734587830
357,dhidhdhoo,6.8833,73.1,28.33,MV,1734587831
358,sochi,43.6,39.7303,2.05,RU,1734587832
359,katol,21.2667,78.5833,24.96,IN,1734587833
360,amalapuram,16.5833,82.0167,26.11,IN,1734587834
361,hovd,48.0056,91.6419,-16.32,MN,1734587835
362,namsos,64.4662,11.4957,4.95,NO,1734587837
363,fortuna,40.5982,-124.1573,12.42,US,1734587838
364,al hamul,31.3115,31.1477,16.12,EG,1734587839
365,malango,-2.9627,119.9001,26.55,ID,1734587840
366,taourirt,34.4073,-2.8973,13.81,MA,1734587841
367,touros,-5.1989,-35.4608,25.71,BR,1734587842
368,illizi,26.4833,8.4667,7.8,DZ,1734587843
369,warah,27.4481,67.7978,21.31,PK,1734587844
370,novyy turtkul',41.55,61.0167,3.74,UZ,1734587845
371,vadso,70.0744,29.7487,-13.91,NO,1734587846
372,prince george,53.9166,-122.753,-7.06,CA,1734587574
373,puerto santander,8.3636,-72.4063,22.82,CO,1734587849
374,fale old settlement,-9.3852,-171.2468,28.55,TK,1734587850
375,koulamoutou,-1.1303,12.4736,22.46,GA,1734587851
376,gubkinskiy,64.434,76.5026,-12.54,RU,1734587852
377,houston,29.7633,-95.3633,14.01,US,1734587829
378,clement town,30.2667,78.0667,15.51,IN,1734587854
379,mahibadhoo,3.7833,72.9667,28.41,MV,1734587855
380,libenge,3.65,18.6333,23.72,CD,1734587856
381,as sulayyil,20.4607,45.5779,15.67,SA,1734587857
382,nidau,47.1255,7.2403,9.31,CH,1734587859
383,tura,25.5198,90.2201,24.91,IN,1734587860
384,marka,1.7159,44.7717,27.95,SO,1734587861
385,howrah,22.5892,88.3103,25.0,IN,1734587863
386,waddan,29.1614,16.139,10.82,LY,1734587864
387,fruita,39.1589,-108.729,0.64,US,1734587693
388,sanniquellie,7.3622,-8.7061,15.31,LR,1734587866
389,salalah,17.0151,54.0924,22.84,OM,1734587867
390,luganville,-15.5333,167.1667,25.8,VU,1734587868
391,welshpool,52.6597,-3.1471,5.45,GB,1734587869
392,kulhudhuffushi,6.6221,73.07,28.4,MV,1734587871
393,curvelo,-18.7564,-44.4308,20.62,BR,1734587872
394,kuytun,54.3419,101.5036,-14.67,RU,1734587873
395,shipunovo,52.1582,82.2173,-8.53,RU,1734587874
396,chulakkurgan,43.765,69.1814,6.24,KZ,1734587875
397,camden,39.7835,-74.9663,7.84,US,1734587877
398,aden,12.7794,45.0367,25.04,YE,1734587878
399,safi,32.1667,-8.8333,13.66,MA,1734587879
400,malindi,-3.2175,40.1191,28.29,KE,1734587881
401,svetlyy,54.675,20.1347,9.02,RU,1734587882
402,inirida,3.8653,-67.9239,23.0,CO,1734587883
403,posto fiscal rolim de moura,-13.0833,-62.2667,22.46,BR,1734587884
404,diapaga,12.0708,1.7889,15.69,BF,1734587885
405,wynyard,-41.0,145.7167,17.88,AU,1734587887
406,rio grande,-32.035,-52.0986,19.91,BR,1734587872
407,pangody,65.85,74.4859,-12.93,RU,1734587889
408,klyuchi,52.2667,79.1667,-7.03,RU,1734587890
409,harstad,68.799,16.5293,-4.91,NO,1734587892
410,nova vicosa,-17.8919,-39.3719,24.1,BR,1734587893
411,gizo,-8.103,156.8419,29.78,SB,1734587894
412,graaff-reinet,-32.2522,24.5308,18.29,ZA,1734587895
413,cill airne,52.05,-9.5167,5.87,IE,1734587896
414,adh dhibiyah,24.5014,45.9686,14.0,SA,1734587897
415,bangassou,4.7413,22.8184,24.55,CF,1734587900
416,nasiriyah,31.0521,46.261,12.12,IQ,1734587901
417,tomatlan,19.9333,-105.25,19.76,MX,1734587902
418,prado,-17.3411,-39.2208,24.36,BR,1734587903
419,humaita,-7.5061,-63.0208,22.91,BR,1734587904
420,wewak,-3.5534,143.6268,30.74,PG,1734587905
421,lospalos,-8.5186,127.0025,28.59,TL,1734587906
422,ataq,14.5377,46.8319,15.02,YE,1734587907
423,awjilah,29.1081,21.2869,11.46,LY,1734587908
424,ouarzazat,30.9189,-6.8934,6.16,MA,1734587909
425,bandarbeyla,9.4942,50.8122,25.05,SO,1734587910
426,zarechnyy,53.2036,45.1923,-14.51,RU,1734587912
427,umm kaddadah,13.6017,26.6876,20.94,SD,1734587913
428,sinop,41.7711,34.8709,3.64,TR,1734587914
429,ust-tsilma,65.441,52.1498,-27.65,RU,1734587915
430,villa el carmen,11.9801,-86.5057,25.17,NI,1734587916
431,okeho,8.0333,3.35,20.32,NG,1734587917
432,barra de santo antonio,-9.4047,-35.5072,25.4,BR,1734587918
433,north platte,41.1239,-100.7654,1.88,US,1734587919
434,prince rupert,54.3161,-130.3201,6.83,CA,1734587710
435,darwin,-12.4611,130.8418,32.16,AU,1734587783
436,rawson,-43.3002,-65.1023,13.16,AR,1734587923
437,mejit,10.2753,170.8646,27.27,MH,1734587924
438,huayin,34.5675,110.0921,7.13,CN,1734587925
439,sao tome,0.3365,6.7273,26.36,ST,1734587926
440,kolondieba,11.0882,-6.8926,16.77,ML,1734587927
441,bikenibeu village,1.3673,173.1241,30.98,KI,1734587928
442,kembe,4.6228,21.8865,24.81,CF,1734587929
443,cidreira,-30.1811,-50.2056,20.5,BR,1734587930
444,uribia,11.7139,-72.266,27.12,CO,1734587931
445,al bawiti,28.3492,28.8659,11.39,EG,1734587932
446,swan hill,-35.3378,143.5544,33.1,AU,1734587933
447,bartica,6.4,-58.6167,22.24,GY,1734587935
448,trujillo,-8.116,-79.03,16.98,PE,1734587936
449,columbus,39.9612,-82.9988,2.29,US,1734587937
450,kalaleh,37.3807,55.4916,5.78,IR,1734587938
451,kindu,-2.95,25.95,22.48,CD,1734587939
452,carutapera,-1.195,-46.02,25.7,BR,1734587940
453,saryaghash,41.45,69.1667,3.96,KZ,1734587941
454,usogorsk,63.4106,48.6872,-25.87,RU,1734587942
455,baie-saint-paul,47.4411,-70.4986,0.87,CA,1734587943
456,santa luzia,-19.7697,-43.8514,21.5,BR,1734587944
457,bodo,67.28,14.405,-2.98,NO,1734587946
458,malvan,16.0667,73.4667,27.66,IN,1734587947
459,concordia,-31.393,-58.0209,20.99,AR,1734587948
460,mahdia,35.5047,11.0622,11.61,TN,1734587950
461,yalta,44.5,34.1667,7.63,UA,1734587951
462,hemer,51.3833,7.7667,11.81,DE,1734587952
